CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,D001_01,D002,D015,D014,D016,D017_01,PS17_01,PS17_02,PS17_03,PS16,PS15,PS14,PS13,PS12,PS11,PS11_05,PS11_01,PS11_02,PS11_03,PS11_04,PS10,PS09,PS08_01,PS07,PS06,PS05_01,PS04_01,PS03,PS02_01,PS18,KO01_01,KO01_02,KO01_03,KO01_04,KO01_05,F001_02,F001_04,F001_05,F001_06,F001_07,F001_08,F002,F002_01,F002_02,F002_03,F002_04,F002_05,F002_06,F002_07,F002_08,F002_09,F002_10,F002_11,F002_12,F002_13,F006,F006_01,F006_02,F006_03,F006_04,F006_05,F006_06,F006_07,F006_08,F006_09,F006_10,F006_11,F006_12,F006_13,F006_14,F008_01,F008_02,F008_03,F008_04,F008_05,F009_01,F009_02,F009_03,F009_04,F009_05,F009_06,F009_07,F009_08,F009_09,F010,F011,F013,F012,F014,F014_02,F015,F016,F017,F018,F004_01,PP01_01,PP01_02,PP01_03,PP01_04,PP01_05,PP01_06,PP01_07,PP04_01,PP04_02,PP04_03,PP04_04,PP06_01,PP06_02,PP06_03,PP06_04,PP05_01,PP05_02,PP05_03,PP05_04,PP05_05,LG01_01,LG01_02,LG01_03,LG01_04,LG01_05,LG01_06,LG01_07,LG01_08,LG01_09,LG01_10,VP01_01,VP01_02,VP01_03,VP01_04,VP01_05,VP01_06,VP01_07,VP01_08,VP01_09,VP01_10,VP01_11,VP01_12,VP01_13,VP01_14,VP02_01,VP02_02,VP02_03,VP02_04,VP02_05,VP02_06,VP02_07,VP02_08,VP02_09,VP02_10,VP02_11,VP02_12,VP03_01,VP03_02,VP03_03,VP03_04,VP03_05,VP03_06,VP03_07,VP03_08,VP03_09,VP03_10,VP03_11,VP03_12,VP03_13,VP03_14,VP03_15,VP03_16,VP04_01,VP04_02,VP04_03,VP04_04,VP04_05,VP04_06,VP04_07,FP01_01,FP01_02,FP01_03,FP01_04,FP01_05,FP01_06,FP01_07,FP01_08,FP01_09,FP01_10,FP01_11,FP01_12,FP01_13,FP02_01,FP02_02,FP02_03,FP02_04,FP02_05,FP02_06,FP02_07,FP02_08,FP02_09,FP02_10,FP02_11,FP02_12,FP02_13,FP02_14,FP02_15,FP02_16,FP02_17,FP02_18,FP02_19,FP02_20,FP03_01,FP03_02,FP03_03,FP03_04,FP03_05,FP03_06,FP03_07,TP01_01,TP01_02,TP01_03,TP01_04,TP01_05,TP01_06,TP02_01,TP02_02,TP02_03,TP02_04,TP02_05,TP02_06,CV19_01,CV19_02,CV19_03,CV19_04,CV19_05,CV19_06,CV22_01,CV22_02,CV22_03,CV22_04,CV22_05,CV22_06,CV22_07,CV22_08,CV22_09,CV22_10,CV22_11,CV22_12,CV25_01,CV26_01,CV27_01,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME019,TIME020,TIME021,TIME022,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
576,,,base,interview,2021-03-03 21:44:16,21,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,2.0,2.0,,,EN,BU,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,21.0,48.0,,8765.0,,,,,,,,,,,,,,,,,116.0,,2021-03-04 00:11:32,abgebrochen,Teilnehmer,5.0,5.0,19.0,5.0,,24.0
580,,,base,interview,2021-03-03 21:48:50,25,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,äußerst wichtig,äußerst wichtig,,,PuP,EN,8,nein,1.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ja,,,,,7.0,7.0,AHS,2,Oktober 2020,3.0,3.0,2.0,trifft voll zu,trifft voll zu,2,1,51,7,6,017,2.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,trifft zu,trifft zu,trifft zu,trifft eher zu,teils/teils,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,teils/teils,flexibler einteilen,,mehr gelernt,keine Änderung,Ähnliches gelernt,,keine Änderung,gleich,gleich,keine Änderung,,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,2.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,5.0,sehr häufig,3.0,nie,nie,3.0,nie,nie,2.0,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,sehr häufig,nie,3.0,nie,nie,sehr häufig,sehr häufig,3.0,2.0,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,22.0,32.0,,28.0,26.0,121.0,36.0,58.0,76.0,61.0,49.0,147.0,,,,,41.0,,,,703.0,,2021-03-03 22:00:33,abgebrochen,Teilnehmer,19.0,19.0,24.0,21.0,,17.0
581,,,base,interview,2021-03-03 21:49:11,81,divers/andere,andere Lebensform.,mehr als 3,während des ganzen Semesters erwerbstätig.,12,gar nicht wichtig,gar nicht wichtig,4.0,BSP,MG,MA,10,nein,1.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nein,finanzieller Sorgen,40.0,AHS,Oktober 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,33.0,47.0,24.0,,2.0,2087.0,,,,,,,,,,,,,,,208.0,,2021-03-03 22:26:04,abgebrochen,Teilnehmer,7.0,7.0,20.0,23.0,,100.0
582,,,base,interview,2021-03-03 21:49:34,23,weiblich,bei meinen Eltern.,,während des ganzen Semesters erwerbstätig.,12,6.0,äußerst wichtig,,,DE,BU,8,nein,1.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ja,,,,,54.0,46.0,NMS,2,Jänner 2021,3.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,39.0,37.0,,97.0,32.0,,,,,,,,,,,,,,,,214.0,,2021-03-03 21:53:08,abgebrochen,Teilnehmer,6.0,6.0,8.0,1.0,,1.0
583,,,base,interview,2021-03-03 21:49:55,23,weiblich,bei meinen Eltern.,,während des ganzen Semesters erwerbstätig.,8,5.0,5.0,,,GW,EN,6,ja,1.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ja,,,,,50.0,50.0,AHS,2,Oktober 2020,3.0,2.0,2.0,3.0,trifft voll zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,30.0,41.0,,32.0,29.0,2225.0,,,,,,,,,,,,,,,243.0,,2021-03-03 22:29:17,abgebrochen,Teilnehmer,7.0,7.0,8.0,1.0,,4.0
585,,,base,interview,2021-03-03 21:51:07,26,weiblich,mit meinem*meiner Parnter*in.,,nicht erwerbstätig.,,äußerst wichtig,6.0,,,EH,GS,5,ja,1.0,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,50.0,39.0,"BMHS (z. B. HTL, HAK, ...)",2,Oktober 2020,3.0,3.0,trifft voll zu,trifft voll zu,trifft voll zu,,,,,,,2.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,2.0,ausgewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,trifft zu,trifft eher zu,trifft zu,trifft zu,trifft eher zu,trifft eher zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft eher zu,teils/teils,trifft eher zu,trifft nicht zu,keine Änderungen,,keine Änderung,intensiver auseinandergesetzt,,,keine Änderung,gleich,,keine Änderung,,2.0,trifft gar nicht zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,trifft voll zu,2.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,4.0,4.0,nie,nie,nie,4.0,,4.0,4.0,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nie,,5.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,16.0,35.0,,34.0,22.0,52.0,38.0,41.0,78.0,44.0,30.0,68.0,,,,,11.0,,,,472.0,,2021-03-03 21:58:59,abgebrochen,Teilnehmer,19.0,19.0,39.0,35.0,,58.0
586,,,base,interview,2021-03-03 21:51:39,20,weiblich,mit meinem*meiner Parnter*in.,,nicht erwerbstätig.,,6.0,5.0,,,EH,EN,2,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,22.0,3.0,NMS,4,Dezember 2020,3.0,3.0,3.0,trifft voll zu,trifft voll zu,7,"5,5",5,0,0,2,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,teils/teils,trifft eher nicht zu,,trifft eher zu,,teils/teils,trifft eher zu,trifft eher zu,trifft eher zu,trifft eher zu,trifft eher zu,teils/teils,,trifft eher nicht zu,,,,,,,,,,,,3.0,3.0,trifft voll zu,2.0,3.0,3.0,3.0,trifft voll zu,3.0,trifft gar nicht zu,3.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,5.0,,,,,,trifft nicht zu,trifft nicht zu,trifft nicht zu,,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft zu,trifft nicht zu,trifft zu,trifft nicht zu,teils/teils,trifft eher zu,,,PDM26BG,36.0,43.0,78.0,,54.0,46.0,260.0,112.0,146.0,,,105.0,,,,,,,,81.0,52.0,982.0,,2021-03-03 22:08:32,ausgefüllt,Teilnehmer,22.0,22.0,27.0,22.0,,0.0
587,,,base,interview,2021-03-03 21:52:09,18,weiblich,andere Lebensform.,,nicht erwerbstätig.,,äußerst wichtig,6.0,,,BU,EN,2,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,51.0,51.0,,,,,,,,,,,,,,,,,,,107.0,,2021-03-03 21:53:56,abgebrochen,Teilnehmer,3.0,3.0,19.0,5.0,,0.0
589,,,base,interview,2021-03-03 21:52:18,20,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,äußerst wichtig,äußerst wichtig,,,EH,MA,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,20.0,3.0,NMS,2,Dezember 2020,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,11,9,0,0,0,80,2.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,teils/teils,trifft eher zu,trifft eher zu,trifft eher zu,trifft zu,,,,,,,,,,,,,,,,,,,,,trifft voll zu,3.0,trifft voll zu,trifft voll zu,3.0,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,,,trifft voll zu,trifft voll zu,trifft voll zu,,trifft voll zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,SCR10B,9.0,30.0,55.0,,49.0,57.0,213.0,83.0,75.0,,,116.0,,,,,,,,15.0,61.0,763.0,,2021-03-03 22:05:01,ausgefüllt,Teilnehmer,22.0,22.0,37.0,35.0,,21.0
592,,,base,interview,2021-03-03 21:54:08,18,weiblich,andere Lebensform.,,nicht erwerbstätig.,,äußerst wichtig,6.0,,,BU,EN,2,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,20.0,6.0,NMS,4,Dezember 2020,3.0,trifft voll zu,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,12.0,33.0,,68.0,25.0,,,,,,,,,,,,,,,,140.0,,2021-03-03 21:56:28,abgebrochen,Teilnehmer,6.0,6.0,12.0,3.0,,35.0
593,,,base,interview,2021-03-03 21:54:10,21,weiblich,mit meinem*meiner Parnter*in.,,nicht erwerbstätig.,,äußerst wichtig,äußerst wichtig,,,GS,MA,2,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,21.0,,NMS,3,Jänner 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,29.0,47.0,,54.0,,,,,,,,,,,,,,,,,134.0,,2021-03-03 21:56:24,abgebrochen,Teilnehmer,5.0,5.0,19.0,9.0,1.0,4.0
594,,,base,interview,2021-03-03 21:54:19,22,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,äußerst wichtig,äußerst wichtig,äußerst wichtig,Sonstiges,EN,BE,10,nein,1.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ja,,,,,50.0,50.0,"BMHS (z. B. HTL, HAK, ...)",1,September 2020,2.0,trifft gar nicht zu,trifft gar nicht zu,3.0,2.0,,,,,,,9.0,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,11.0,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,trifft eher nicht zu,teils/teils,trifft nicht zu,trifft eher nicht zu,trifft nicht zu,trifft zu,trifft eher zu,teils/teils,trifft eher nicht zu,trifft zu,trifft zu,trifft eher nicht zu,trifft nicht zu,trifft nicht zu,weniger flexibel einteilen,gleich gut vereinbaren,weniger gelernt,keine Änderung,Ähnliches gelernt,,weniger aktiv eingebracht,größer,gleich,erschwert,,trifft voll zu,trifft voll zu,3.0,2.0,trifft voll zu,trifft gar nicht zu,2.0,trifft voll zu,3.0,trifft gar nicht zu,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,33.0,42.0,,57.0,27.0,61.0,206.0,258.0,149.0,278.0,41565.0,,,,,,,,,,613.0,,2021-03-04 09:45:43,abgebrochen,Teilnehmer,12.0,12.0,12.0,9.0,,4.0
596,,,base,interview,2021-03-03 22:05:01,25,weiblich,mit meinem*meiner Parnter*in.,,während des ganzen Semesters erwerbstätig.,"8,5",äußerst wichtig,äußerst wichtig,,,EH,GS,9,ja,1.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ja,,,,,60.0,55.0,NMS,6,November 2020,3.0,3.0,2.0,3.0,trifft voll zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,35.0,42.0,,63.0,45.0,,,,,,,,,,,,,,,,194.0,,2021-03-03 22:08:15,abgebrochen,Teilnehmer,6.0,6.0,8.0,1.0,,0.0
597,,,base,interview,2021-03-03 22:07:56,21,weiblich,bei meinen Eltern.,,gelegentlich während des Semesters erwerbstätig.,5,äußerst wichtig,äußerst wichtig,äußerst wichtig,EH,BU,BSP,6,ja,1.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ja,,,,,60.0,25.0,AHS,2,Jänner 2021,2.0,2.0,2.0,3.0,3.0,3,25,0,6,0,20,4.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,6.0,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,trifft zu,trifft zu,trifft zu,trifft eher zu,trifft zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,42.0,39.0,,46.0,38.0,87.0,71.0,,,,,,,,,,,,,,328.0,,2021-03-03 22:13:24,abgebrochen,Teilnehmer,8.0,8.0,3.0,3.0,,2.0
598,,,base,interview,2021-03-03 22:10:03,26,weiblich,alleine.,,gelegentlich während des Semesters erwerbstätig.,,äußerst wichtig,äußerst wichtig,,,GS,DE,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,21.0,11.0,NMS,3,Dezember 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,26.0,32.0,,33.0,,,,,,,,,,,,,,,,,96.0,,2021-03-03 22:11:39,abgebrochen,Teilnehmer,5.0,5.0,14.0,4.0,,10.0
601,,,base,interview,2021-03-03 22:17:53,22,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,6.0,4.0,,,EN,BU,6,nein,1.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,22.0,41.0,,,,,,,,,,,,,,,,,,,73.0,,2021-03-03 22:19:06,abgebrochen,Teilnehmer,3.0,3.0,19.0,5.0,,6.0
602,,,base,interview,2021-03-03 22:18:52,18,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,5.0,5.0,,,GS,DE,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,21.0,5.0,AHS,3,Jänner 2021,3.0,3.0,3.0,3.0,2.0,1,10 2002,91,0,0,1,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,2.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,trifft zu,trifft eher zu,trifft zu,trifft zu,teils/teils,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft eher zu,trifft nicht zu,,,,,,,,,,,,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,3.0,3.0,3.0,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,,,,,,,teils/teils,trifft nicht zu,trifft nicht zu,trifft nicht zu,teils/teils,trifft eher nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft eher nicht zu,trifft eher nicht zu,teils/teils,trifft eher zu,trifft eher zu,trifft zu,trifft eher zu,trifft nicht zu,,,RAS30G,13.0,37.0,80.0,,74.0,31.0,156.0,109.0,123.0,,,118.0,,,,,,,,108.0,56.0,905.0,,2021-03-03 22:33:57,ausgefüllt,Teilnehmer,22.0,22.0,12.0,7.0,,0.0
